[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 24 - 3 - 5 - 80 - [0,0,9,169,56,0,0,215,126,80,69,211,64,210,29,0,0,0,0,0,0,0,0,25] - 76
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: ZDO - extNwkInfo
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:controller: Injected database: true, adapter: true
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: UTIL - getDeviceInfo - {}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,0,39,0,39]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,22,103,0,0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202,58]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,22,103,0,0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202,58]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 22 - 3 - 7 - 0 - [0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202] - 58
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: UTIL - getDeviceInfo - {"status":0,"ieeeaddr":"0x00124b00257b6a6e","shortaddr":0,"devicetype":7,"devicestate":9,"numassocdevices":4,"assocdeviceslist":[26252,4846,32906,51860]}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x00124b00257b6a6e): default expiration timeout set to 0
[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x00158d008c4b0068): default expiration timeout set to 3600000
[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x00158d008c4b0072): default expiration timeout set to 3600000
[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x00158d008bc381e1): default expiration timeout set to 3600000
[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x2c1165fffe38f2c8): default expiration timeout set to 0
[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x2c1165fffe2d42b7): default expiration timeout set to 0
[2026-03-12 12:53:59] debug: 	zh:controller:device: Request Queue (0x0c4314fffea75c93): default expiration timeout set to 0
